Serial No.,DeviceId,StartTime,spd_bn,po_name,po_code,Newpo_code,spd_res_name,spd_vill,vill_tow_name,near_place,po_pri_nu,spd_emu_info,enu_name,enu_code,sup_name,sup_code,gp_inf_cons,disp_info_cons,now_name,gp_start,gp_part1,q1,q2,q3,q4,q5,q6,gp_part1_ter1,gp_part2,q9,q9_1,q10,q11,q12,q12_1,q12_oth,q13,gp_part3,q14,q15,q16,spd_q17,q17,q17_1,q17_2,q17_3,q17_4,q17_5,q17_6,q17_7,q17_8,gp_part4,q18,q18_oth,q19,q20,q20_oth,q21,q22,q23,spd_24,q24,q24_1,q24_2,q24_3,q24_4,q24_5,q24_6,q25,q26,gp_part5,q27,q28,q29,q30,q31,q32,gp_part6,q33,q34,q35,q36,gp_part7,q37,q37_oth,q38,q39,q39_oth,q40,q40_oth,q41,q42,q43,gp_part8,p8,flr1,flr2,flr3,gp_part9,q44,q44_oth,q45,q45_oth,q46,q46_oth,q47,spd_q48,q48_disp,q48_1,q48_2,q48_3,q48_4,q48_5,q48_6,q48_7,q48_8,q48_9,q48_10,q48_11,q48_12,q48_13,q48_14,q48_15,q48_16,q48_17,q48_18,q48_19,q48_20,q48_21,q48_22,q48_23,q48_24,gp_part9a,part9a_q51,part9a_q52,part9a_q53,gp_part9b,part9b_q51,part9b_q52,part9b_q53,resut,KEY,PARENT_KEY,KEY-data
3,8.69E+14,2019-04-18T12:44:35.317+05:30,,Fair bigaread  karyael(south bag),98,98,,,Marufagung,Railway station cinema,11,,Rahul kumar,7,Chandan kyumar,10,,,1,,,1,1,2,1,1,1,,,31,31,1,2,48,48,,7,,4,2,2,,,2,2,3,2,3,99,3,3,,3,,1,6,,1,1,1,,,1,1,1,1,1,1,2,2,,2,1,5,2,2,3,,2,2,1,2,,2,,1,5,,2,,2,1,1,,1,,,,,2,,999,,4,,2,,,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,,3,2,1,,,,,1,data[3],,
4,8.69E+14,2019-04-18T13:55:58.154+05:30,,Fair bigrade office,98,98,,,Marufgung,Biskit godan,12,,Rahul kumar,7,Chandan kumae,10,,,1,,,1,1,2,1,1,2,,,25,25,1,1,59,59,,12,,4,1,2,,,3,3,3,3,3,99,3,2,,13,,2,6,,3,2,1,,,1,1,1,2,2,1,2,3,,2,4,98,2,2,3,,2,2,2,2,,2,,1,2,,2,,1,2,2,,2,,,,,2,,999,,4,,2,,,1,2,2,2,1,2,1,2,2,1,2,1,2,2,1,2,1,1,2,2,2,2,2,2,,,,,,3,2,1,1,data[4],,
5,8.69E+14,2019-04-18T12:06:27.128+05:30,,Mahabir intar school sawrajpur road Kamra -3,111,111,,,Kabirbang,Kabir math school,1,,Rohit Kumar shastri,8,Chandan jumar,2,,,1,,,1,1,1,1,1,1,,,34,34,2,2,63,63,,9,,4,2,2,,,2,2,3,3,3,1,3,1,,3,,2,8,,2,2,1,,,1,3,2,3,3,2,2,2,,2,98,5,98,98,98,,1,98,1,2,,1,,1,1,,1,,3,1,2,,1,,,,,1,,999,,4,,2,,,1,1,1,2,1,2,2,1,2,1,1,1,1,2,1,2,1,1,2,1,2,2,1,2,,2,2,1,,,,,1,data[5],,
6,8.69E+14,2019-04-18T14:51:44.120+05:30,,Fair bigrade office,98,98,,,Marufgung,Choti masjid ka opposite usman pan dukan,19,,Rahul kumar,7,Chandan kumar,10,,,1,,,1,1,1,1,1,1,,,21,21,1,1,19,19,,9,,4,2,2,,,3,3,3,3,3,99,3,3,,3,,2,3,,2,1,2,,,1,2,2,1,2,2,2,2,,2,1,1,2,2,3,,98,2,1,2,,2,,1,2,,2,,1,2,2,,3,,,,,2,,999,,1,,1,,,1,1,2,2,1,2,1,1,2,2,2,1,1,2,1,2,1,1,2,2,2,2,2,2,,,,,,,,,1,data[6],,
7,8.69E+14,2019-04-18T15:38:40.262+05:30,,Fiar bigrde office,98,98,,,Marufgung,Sulaman biskit dukan,7,,Rahul kumar,7,Chandan kumar,10,,,1,,,1,1,1,1,1,1,,,24,24,1,1,59,59,,12,,5,1,2,,,3,3,3,3,3,99,3,3,,3,,2,3,,2,2,2,,,1,1,1,1,1,1,1,2,,2,1,1,2,2,3,,2,98,98,98,,2,,1,2,,2,,1,2,2,,1,,,,,2,,999,,1,,3,,,1,1,2,1,1,2,1,2,2,1,2,2,2,2,1,2,1,1,2,2,2,2,1,2,,3,2,1,,,,,1,data[7],,
8,8.69E+14,2019-04-18T15:59:24.732+05:30,,Fair bigrade office,98,98,,,Marufgung,National book bandig me ,5,,Rahul kumar,7,Chandan kumar,10,,,1,,,1,2,1,1,1,1,,,50,50,1,2,25,25,,7,,4,2,2,,,2,1,1,1,2,1,2,1,,2,,1,1,,3,2,1,,,2,2,98,2,98,98,3,2,,2,1,5,2,2,3,,98,98,98,98,,2,,1,2,,2,,1,1,1,,2,,,,,2,,999,,4,,2,,,1,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,3,2,1,1,data[8],,
9,8.69E+14,2019-04-18T12:59:07.955+05:30,,Mahabir intar mahavidalaya sawarajpuri road kamra-4,111,111,,,Kabirbag,S.t. kabir school ke pass,2,,Rohit Kumar shastri,8,Chandan kumar,2,,,1,,,1,1,1,1,1,1,,,20,20,2,2,63,63,,9,,4,1,2,,,2,2,2,2,2,1,2,1,,1,,2,9,,2,2,1,,,1,98,2,3,3,1,2,4,,2,98,5,3,98,98,,98,98,98,98,,1,,3,1,,1,,3,1,2,,2,,,,,1,,999,,4,,3,,,1,2,2,2,1,2,2,2,2,2,2,1,1,2,1,2,1,1,2,2,2,1,2,2,,,,,,98,98,98,1,data[9],,
10,8.69E+14,2019-04-18T16:33:16.079+05:30,,Fair bigrade office,98,98,,,Marufgung,Kirana dukan,6,,Rahul kumar,7,Chandan kumar,10,,,1,,,1,1,1,1,1,1,,,21,21,1,1,59,59,,9,,4,2,2,,,3,3,3,3,3,99,3,3,,3,,2,3,,2,1,1,,,1,2,2,1,2,2,2,2,,2,1,1,2,2,3,,2,2,2,2,,2,,2,2,,2,,2,2,2,,3,,,,,2,,999,,1,,2,,,1,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,,,,,,,,,1,data[10],,
11,8.69E+14,2019-04-18T13:49:09.767+05:30,,Mahabir intar maha vidyalaya sawarajpuri road-3,111,111,,,Kabir bang,Shiv mandir,3,,Rohit Kumar shastri,8,Chandan kumar,2,,,1,,,1,1,1,1,1,3,,,24,24,2,2,63,63,,13,,3,1,2,,,2,1,2,2,2,2,2,1,,1,,2,9,,2,2,1,,,2,3,2,3,3,2,98,2,,2,3,98,2,98,98,,2,98,98,98,,99,,,99,,1,,98,1,2,,1,,,,,1,,999,,1,,3,,,1,2,2,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,,98,1,1,,,,,1,data[11],,
12,8.69E+14,2019-04-18T14:33:05.954+05:30,,Mahabir intar vidlaya sawarajpuri road Kamra road _3,111,111,,,Kabirbang,Sita Ram Sahu Shiv mandir,3,,Rohit Kumar shastri,8,Chandan kumar,2,,,1,,,1,1,1,1,1,1,,,38,38,2,2,63,63,,13,,4,2,2,,,2,1,2,2,2,1,2,1,,3,,2,9,,2,2,1,,,2,3,3,3,3,1,2,2,,2,3,5,2,98,98,,2,2,1,2,,1,,2,99,,1,,4,1,1,,3,,,,,1,,999,,1,,3,,,1,2,2,2,1,2,2,1,2,1,2,1,1,2,1,2,1,1,2,2,2,1,2,2,,,,,,,,,1,data[12],,
